incident_name,incident_date_created,incident_county,incident_type,incident_dateonly_created
Orleans Complex,2013-08-03T08:00:00Z,Humboldt,,8/3/2013
Relay Fire,2013-08-04T16:29:00Z,Riverside,,8/4/2013
Power Fire,2013-08-05T06:00:00Z,Tuolumne,,8/5/2013
Falls Fire,2013-08-05T10:10:00Z,Riverside,,8/5/2013
Tram Fire,2013-08-06T13:39:00Z,Riverside,,8/6/2013
Indian Fire,2013-08-07T12:35:00Z,Lake,,8/7/2013
Silver Fire,2013-08-07T14:05:00Z,Riverside,,8/7/2013
Sharp Fire,2013-08-08T12:15:00Z,San Bernardino,,8/8/2013
Coyote Fire,2013-08-09T15:51:00Z,Lassen,,8/9/2013
Corral Complex,2013-08-10T11:40:00Z,Humboldt,,8/10/2013
American Fire,2013-08-10T16:30:00Z,Placer,,8/10/2013
Cloverdale Fire,2013-08-14T15:37:00Z,Shasta,,8/14/2013
Cottonwood Fire,2013-08-15T14:40:00Z,Siskiyou,,8/15/2013
Union Fire,2013-08-16T13:55:00Z,El Dorado,,8/16/2013
Swedes Fire,2013-08-16T16:37:00Z,Butte,,8/16/2013
Pierce Fire,2013-08-16T13:31:00Z,Riverside,,8/16/2013
Double Fire,2013-08-16T17:57:00Z,Lake,,8/16/2013
Bridges Fire,2013-08-17T10:11:00Z,Calaveras,,8/17/2013
Cleghorn Fire,2013-08-17T17:25:00Z,San Bernardino,,8/17/2013
Rim Fire,2013-08-17T15:25:00Z,Tuolumne,,8/17/2013
Plumas Lightning Complex (Hough),2013-08-18T18:30:00Z,Plumas,,8/18/2013
Shirley Fire,2013-08-18T23:12:00Z,Kern,,8/18/2013
Burney Lightning Series (Warner Fire),2013-08-19T17:48:00Z,Shasta,,8/19/2013
Gobblers Fire,2013-08-20T13:32:00Z,San Bernardino,,8/20/2013
Deer Fire,2013-08-23T14:15:00Z,Tehama,,8/23/2013
Fish Fire,2013-08-24T14:31:00Z,Tulare,,8/24/2013
Empire Fire,2013-08-24T14:54:00Z,El Dorado,,8/24/2013
Little Fire,2013-08-24T15:09:00Z,San Bernardino,,8/24/2013
Tyler Fire,2013-08-31T14:42:00Z,Nevada,,8/31/2013
Centerville Fire,2013-08-31T17:23:00Z,Butte,,8/31/2013
Davis Creek Complex,2013-09-05T15:57:00Z,Modoc,,9/5/2013
Chestnut Fire,2013-09-07T13:55:00Z,San Mateo,,9/7/2013
Rail Fire,2013-09-07T17:30:00Z,Modoc,,9/7/2013
Morgan Fire,2013-09-08T13:08:00Z,Contra Costa,,9/8/2013
Angora Fire,2013-09-08T11:53:00Z,Tulare,,9/8/2013
Clover Fire,2013-09-09T12:32:00Z,Shasta,,9/9/2013
Lyon Fire,2013-09-09T13:09:00Z,San Diego,,9/9/2013
Liveoak Fire,2013-09-11T16:57:00Z,San Bernardino,,9/11/2013
Lakeshore Fire,2013-09-15T19:45:00Z,Lake,,9/15/2013
Madre Fire,2013-09-23T18:00:00Z,Los Angeles,,9/23/2013
Sierra Fire,2013-09-24T15:51:00Z,San Bernardino,,9/24/2013
Creek Fire,2013-09-24T03:20:00Z,San Luis Obispo,,9/24/2013
Highland Fire,2013-09-28T13:57:00Z,Mendocino,,9/28/2013
Putah Fire,2013-10-03T20:33:00Z,Napa,,10/3/2013
Crane Fire,2013-10-04T12:25:00Z,Sonoma,,10/4/2013
Summit Fire,2013-10-04T17:37:00Z,Butte,,10/4/2013
DeLuz Fire,2013-10-05T12:45:00Z,San Diego,,10/5/2013
Baker Fire,2013-10-06T10:52:00Z,Orange,,10/6/2013
Capay Fire,2013-11-04T11:41:00Z,Yolo,,11/4/2013
Dersch Fire,2013-11-07T16:10:00Z,Shasta,,11/7/2013
